ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№225  | Инфинитив: atsigriẽbti         | Форма: "atsigriebciau" (Aš      ) | Варианты: atsigriebčiaũ / atsigriẽbčiau
№226  | Инфинитив: atsigul̃ti           | Форма: "atsigulciau" (Aš      ) | Варианты: atsigulčiaũ / atsigul̃čiau
№227  | Инфинитив: atsiim̃ti            | Форма: "atsiimciau" (Aš      ) | Варианты: atsiimčiaũ / atsiim̃čiau
№228  | Инфинитив: atsiklaũpti         | Форма: "atsiklaupciau" (Aš      ) | Варианты: atsiklaupčiaũ / atsiklaũpčiau
№229  | Инфинитив: atsikratýti         | Форма: "atsikratyciau" (Aš      ) | Варианты: atsikratyčiaũ / atsikratýčiau
№230  | Инфинитив: atsikvė̃pti          | Форма: "atsikvepsiu" (Aš      ) | Варианты: atsikvė́psiu / atsikvė̃psiu
№231  | Инфинитив: atsikvė̃pti          | Форма: "atsikvepsime" (Mes     ) | Варианты: atsikvė́psime / atsikvė̃psime
№232  | Инфинитив: atsikvė̃pti          | Форма: "atsikvepsite" (Jūs     ) | Варианты: atsikvė́psite / atsikvė̃psite
№233  | Инфинитив: atsikvė̃pti          | Форма: "atsikvepciau" (Aš      ) | Варианты: atsikvėpčiaũ / atsikvė̃pčiau
№234  | Инфинитив: atsilìkti           | Форма: "atsilikciau" (Aš      ) | Варианты: atsilikčiaũ / atsilìkčiau
№235  | Инфинитив: atšìlti             | Форма: "atsilciau" (Aš      ) | Варианты: atšilčiaũ / atšìlčiau
№236  | Инфинитив: atšìlti             | Форма: "atsiltu" (Jis/ji  ) | Варианты: atšiltų̃ / atšìltų
№237  | Инфинитив: atsimèsti           | Форма: "atsimesciau" (Aš      ) | Варианты: atsimesčiaũ / atsimèsčiau
№238  | Инфинитив: atsimiñti           | Форма: "atsiminciau" (Aš      ) | Варианты: atsiminčiaũ / atsimiñčiau
№239  | Инфинитив: atsinèšti           | Форма: "atsinesciau" (Aš      ) | Варианты: atsineščiaũ / atsinèščiau
№240  | Инфинитив: atsipalaidúoti      | Форма: "atsipalaiduociau" (Aš      ) | Варианты: atsipalaiduočiaũ / atsipalaidúočiau
№241  | Инфинитив: atsiprašýti        | Форма: "atsiprasyciau" (Aš      ) | Варианты: atsiprašyčiaũ / atsiprašýčiau
№242  | Инфинитив: atsisakýti          | Форма: "atsisakyciau" (Aš      ) | Варианты: atsisakyčiaũ / atsisakýčiau
№243  | Инфинитив: atsisė́sti           | Форма: "atsisesciau" (Aš      ) | Варианты: atsisėsčiaũ / atsisė́sčiau
№244  | Инфинитив: atsiskaitýti        | Форма: "atsiskaityciau" (Aš      ) | Варианты: atsiskaityčiaũ / atsiskaitýčiau
№245  | Инфинитив: atsispìrti          | Форма: "atsispirciau" (Aš      ) | Варианты: atsispirčiaũ / atsispìrčiau
№246  | Инфинитив: atsistatýdinti      | Форма: "atsistatydinciau" (Aš      ) | Варианты: atsistatydinčiaũ / atsistatýdinčiau
№247  | Инфинитив: atsistóti           | Форма: "atsistociau" (Aš      ) | Варианты: atsistočiaũ / atsistóčiau
№248  | Инфинитив: atsisvéikinti       | Форма: "atsisveikinciau" (Aš      ) | Варианты: atsisveikinčiaũ / atsisvéikinčiau
№249  | Инфинитив: atsitráukti         | Форма: "atsitraukciau" (Aš      ) | Варианты: atsitraukčiaũ / atsitráukčiau
№250  | Инфинитив: atsitreñkti         | Форма: "atsitrenkciau" (Aš      ) | Варианты: atsitrenkčiaũ / atsitreñkčiau
№251  | Инфинитив: atsitū̃pti           | Форма: "atsitupiau" (Aš      ) | Варианты: atsitūpiaũ / atsìtūpiau
№252  | Инфинитив: atsitū̃pti           | Форма: "atsitupe" (Jis/ji  ) | Варианты: atsitū̃pė / atsìtūpė
№253  | Инфинитив: atsitū̃pti           | Форма: "atsitupsiu" (Aš      ) | Варианты: atsitū́psiu / atsitū̃psiu
№254  | Инфинитив: atsių̃sti            | Форма: "atsiusciau" (Aš      ) | Варианты: atsiųsčiaũ / atsių̃sčiau
№255  | Инфинитив: atsių̃sti            | Форма: "atsiustu" (Jis/ji  ) | Варианты: atsiųstų̃ / atsių̃stų
№256  | Инфинитив: atsių̃sti            | Форма: "atsiustume" (Mes     ) | Варианты: atsiųstumè / atsių̃stume
№257  | Инфинитив: atsiver̃sti          | Форма: "atsiversciau" (Aš      ) | Варианты: atsiversčiaũ / atsiver̃sčiau
№258  | Инфинитив: atsivèsti           | Форма: "atsivesciau" (Aš      ) | Варианты: atsivesčiaũ / atsivèsčiau
№259  | Инфинитив: atsivèžti           | Форма: "atsivezciau" (Aš      ) | Варианты: atsivežčiaũ / atsivèžčiau
№260  | Инфинитив: atsižvel̃gti         | Форма: "atsizvelgciau" (Aš      ) | Варианты: atsižvelgčiaũ / atsižvel̃gčiau
№261  | Инфинитив: atskìrti            | Форма: "atskirciau" (Aš      ) | Варианты: atskirčiaũ / atskìrčiau
№262  | Инфинитив: atskleĩsti          | Форма: "atskleisciau" (Aš      ) | Варианты: atskleisčiaũ / atskleĩsčiau
№263  | Инфинитив: atskleĩsti          | Форма: "atskleistu" (Jis/ji  ) | Варианты: atskleistų̃ / atskleĩstų
№264  | Инфинитив: atskrìsti           | Форма: "atskristu" (Jis/ji  ) | Варианты: atskristų̃ / atskrìstų
№265  | Инфинитив: atslū́gti            | Форма: "atslugtu" (Jis/ji  ) | Варианты: atslūgtų̃ / atslū́gtų
№266  | Инфинитив: atšókti             | Форма: "atsoktu" (Jis/ji  ) | Варианты: atšoktų̃ / atšóktų
№267  | Инфинитив: atspáusdinti        | Форма: "atspausdinu" (Aš      ) | Варианты: atspáusdinu / atspausdinù
№268  | Инфинитив: atspáusdinti        | Форма: "atspausdinate" (Jūs     ) | Варианты: atspáusdinate / atspausdìnate
№269  | Инфинитив: atspáusdinti        | Форма: "atspausdinai" (Tu      ) | Варианты: atspáusdinai / atspausdinaĩ
№270  | Инфинитив: atspáusdinti        | Форма: "atspausdinsiu" (Aš      ) | Варианты: atspáusdinsiu / atspausdìnsiu
№271  | Инфинитив: atspáusdinti        | Форма: "atspausdinsi" (Tu      ) | Варианты: atspáusdinsi / atspausdìnsi
№272  | Инфинитив: atspáusdinti        | Форма: "atspausdinciau" (Aš      ) | Варианты: atspáusdinčiau / atspausdìnčiau
№273  | Инфинитив: atspáusdinti        | Форма: "atspausdintum" (Tu      ) | Варианты: atspáusdintum / atspausdìntum
№274  | Инфинитив: atspáusdinti        | Форма: "atspausdintu" (Jis/ji  ) | Варианты: atspáusdintų / atspáusdintų / atspausdìntų
№275  | Инфинитив: atspáusdinti        | Форма: "atspausdintume" (Mes     ) | Варианты: atspáusdintume / atspausdìntume
№276  | Инфинитив: atspáusdinti        | Форма: "atspausdintute" (Jūs     ) | Варианты: atspáusdintute / atspausdìntute
№277  | Инфинитив: atspáusdinti        | Форма: "atspausdindavai" (Tu      ) | Варианты: atspáusdindavai / atspausdìndavai
№278  | Инфинитив: atspáusdinti        | Форма: "atspausdindavome" (Mes     ) | Варианты: atspáusdindavome / atspausdìndavome
№279  | Инфинитив: atspáusdinti        | Форма: "atspausdindavote" (Jūs     ) | Варианты: atspáusdindavote / atspausdìndavote
№280  | Инфинитив: atspė́ti             | Форма: "atspetu" (Jis/ji  ) | Варианты: atspėtų̃ / atspė́tų
№281  | Инфинитив: atspė́ti             | Форма: "atspetume" (Mes     ) | Варианты: atspėtumè / atspė́tume
№282  | Инфинитив: atspindė́ti          | Форма: "atspindziu" (Aš      ) | Варианты: ãtspindžiu / atspindžiù
№283  | Инфинитив: atstatýti           | Форма: "atstatyciau" (Aš      ) | Варианты: atstatyčiaũ / atstatýčiau
№284  | Инфинитив: atstóti             | Форма: "atstociau" (Aš      ) | Варианты: atstočiaũ / atstóčiau
№285  | Инфинитив: atstùmti            | Форма: "atstumtu" (Jis/ji  ) | Варианты: atstumtų̃ / atstùmtų
№286  | Инфинитив: atšvę̃sti            | Форма: "atsvestu" (Jis/ji  ) | Варианты: atšvęstų̃ / atšvę̃stų
№287  | Инфинитив: atšvę̃sti            | Форма: "atsvestume" (Mes     ) | Варианты: atšvęstumè / atšvę̃stume
№288  | Инфинитив: atvažiúoti          | Форма: "atvaziuociau" (Aš      ) | Варианты: atvažiuočiaũ / atvažiúočiau
№289  | Инфинитив: atvažiúoti          | Форма: "atvaziuotume" (Mes     ) | Варианты: atvažiuotumè / atvažiúotume
№290  | Инфинитив: atver̃sti            | Форма: "atverciau" (Aš      ) | Варианты: atverčiaũ / àtverčiau
№291  | Инфинитив: atvèsti             | Форма: "atvesciau" (Aš      ) | Варианты: atvesčiaũ / atvèsčiau
№292  | Инфинитив: atvèsti             | Форма: "atvestu" (Jis/ji  ) | Варианты: atvestų̃ / atvèstų
№293  | Инфинитив: atvèžti             | Форма: "atvesi" (Tu      ) | Варианты: àtveši / atvèši
№294  | Инфинитив: atvèžti             | Форма: "atvezciau" (Aš      ) | Варианты: atvežčiaũ / atvèžčiau
№295  | Инфинитив: atvèžti             | Форма: "atveztume" (Mes     ) | Варианты: atvežtumè / atvèžtume
№296  | Инфинитив: atvỹkti             | Форма: "atvykciau" (Aš      ) | Варианты: atvykčiaũ / atvỹkčiau
№297  | Инфинитив: atžymė́ti            | Форма: "atzymi" (Tu      ) | Варианты: atžỹmi / atžymì
№298  | Инфинитив: augìnti             | Форма: "auginciau" (Aš      ) | Варианты: auginčiaũ / augìnčiau
№299  | Инфинитив: áuklėti            | Форма: "aukleciau" (Aš      ) | Варианты: auklėčiaũ / áuklėčiau
№300  | Инфинитив: áuklėti            | Форма: "aukletume" (Mes     ) | Варианты: auklėtumè / áuklėtume
№301  | Инфинитив: aukóti              | Форма: "aukociau" (Aš      ) | Варианты: aukočiaũ / aukóčiau
№302  | Инфинитив: áukštinti           | Форма: "aukstini" (Tu      ) | Варианты: aukštìni / áukštini
№303  | Инфинитив: áukštinti           | Форма: "aukstintume" (Mes     ) | Варианты: aukštintumè / áukštintume
№304  | Инфинитив: áusti               | Форма: "austu" (Jis/ji  ) | Варианты: austų̃ / áustų
№305  | Инфинитив: avė́ti               | Форма: "aves" (Jis/ji  ) | Варианты: avė̃s / ãvės
№306  | Инфинитив: avė́ti               | Форма: "aveciau" (Aš      ) | Варианты: avėčiaũ / avė́čiau
№307  | Инфинитив: badáuti             | Форма: "badauciau" (Aš      ) | Варианты: badaučiaũ / badáučiau
№308  | Инфинитив: bai̇g̃ti             | Форма: "baigciau" (Aš      ) | Варианты: baigčiaũ / baĩgčiau
№309  | Инфинитив: bàkstelėti          | Форма: "bakstelejau" (Aš      ) | Варианты: bãkstelėjau / bàkstelėjau
№310  | Инфинитив: bàkstelėti          | Форма: "bakstelejo" (Jis/ji  ) | Варианты: bãkstelėjo / bàkstelėjo
№311  | Инфинитив: bàkstelėti          | Форма: "baksteles" (Jis/ji  ) | Варианты: bãkstelės / bàkstelės
№312  | Инфинитив: bàkstelėti          | Форма: "baksteletu" (Jis/ji  ) | Варианты: bãkstelėtų / bàkstelėtų
№313  | Инфинитив: bàkstelėti          | Форма: "baksteledavo" (Jis/ji  ) | Варианты: bãkstelėdavo / bàkstelėdavo
№314  | Инфинитив: balsúoti            | Форма: "balsuociau" (Aš      ) | Варианты: balsuočiaũ / balsúočiau
№315  | Инфинитив: baltė́ti             | Форма: "baltes" (Jis/ji  ) | Варианты: báltės / baltė̃s
№316  | Инфинитив: baltì               | Форма: "balciau" (Aš      ) | Варианты: balčiaũ / bálčiau
№317  | Инфинитив: bandýti             | Форма: "bandyciau" (Aš      ) | Варианты: bandyčiaũ / bandýčiau
№318  | Инфинитив: bankrutúoti         | Форма: "bankrutuociau" (Aš      ) | Варианты: bankrutuočiaũ / bankrutúočiau
№319  | Инфинитив: baũsti              | Форма: "baustu" (Jis/ji  ) | Варианты: baustų̃ / baũstų
№320  | Инфинитив: bėginė́ti            | Форма: "begines" (Jis/ji  ) | Варианты: bė̃ginės / bėginė̃s
№321  | Инфинитив: bė́gti               | Форма: "begi" (Tu      ) | Варианты: bė̃gi / bė́gi
